,ugCollege
MU,1474
VTU,1471
Anna University,898
Pune University,617
JNTU,611
BITS Pilani,562
University of Pune,490
University of Mumbai,411
Amrita School of Engineering,404
Manipal Institue of Technology,369
SRM,351
R V College of Engineering,349
VIT,342
PESIT,312
SASTRA,310
SSN College of Engineering,302
VIT University,293
CEG,276
GITAM,250
NIT Calicut,243
PSG College of Technology,235
UPTU,232
Jaypee Institute of Information Technology,232
MSRIT,207
NIT Warangal,203
GGSIPU,201
K J Somaiya College of Engiineering,201
COEP,187
Osmania University,180
BITS Goa,179
West Bengal University Of Technology,169
Thapar University,163
NITK Surathkal,157
NIT Tirchy,153
BMSCE,152
BIT Mesra,150
Madras Institute of Technology,149
Sri Venkateswara College of Engineering,147
Delhi College Of Engineeing,135
Sardar Patel College of Engineering,126
BITS Hyderabad,125
Gujarat Technological University,122
Guru Gobind Singh Indraprashta University,120
VJTI,111
Amrita Vishwa Vidhyapeetham,108
NIT Rourkela,106
D J Sanghvi,103
NIT Kurukshetra,101
RGPV,97
SJCE,97
Nirma Institute of Technology,97
WBUT,95
St Joseph's College of Engineering,95
DA-IICT,89
Nagpur University,85
Amity University,84
NIT Durgapur,82
PICT,81
IIT Roorkee,79
Coimbatore Insitute of Technology,78
NIT Allahabad,76
Cochin University of Science and Technology,74
MDU,74
Netaji Subhas Institute of Technology,70
KIIT,70
Panjab University,70
IIT Kharagpur,70
Rajasthan Technical University,69
IIT Madras,66
NIT,66
IIT Guwahati,66
Goa University,65
Maharishi Dayanand University,65
Sir MVIT,65
Bangalore Institute of Technology,63
NMIMS,63
Sri Sairam Engineering College,62
NIT Nagpur,61
ISM Dhanbad,59
CBIT,58
IIT BHU,57
NIT Karnataka,56
VNIT Nagpur,56
NIT Silchar,55
BNMIT,51
Jadavpur University,51
RNSIT,50
Sri Jayachamarajendra College of Engineering,49
Velammal Engineering College,49
Bharati Vidyapeeth,48
Veermata Jijabai Technological Institute,48
JSS Noida,48
Walchand College Of Engineering,48
VESIT,47
Medicaps Institute of Science & Technology Indore,46
Thiagarajar College of engineering,45
Biju Patnaik University of Technology,45
IIT Bombay,44
CoE Trivandrum,44
Dayananda Sagar College of Engineering,43
Dharamsinh Desai University,43
Pondicherry University,43
University of Calicut,42
Model Engineering College,42
NSIT,42
Shivaji University,41
Pondicherry Engineering College,41
Punjab Technical University,41
Maharaja Agrasen Institute Of Technology,40
NIT Surat,39
Kurukshetra University,39
YMCA,39
Andhra University,39
Dhirubhai Ambani Institute of Information & Communication Technology,39
NIT Raipur,39
UVCE,38
Visvesvaraya NIT Nagpur,38
BITS Dubai,38
SPCE,37
IIIT Allahabad,37
Mepco Schlenk Engineering College,37
Siddaganga Institue of Technology,37
The LNM Institute of Information Technology,37
Jamia Millia Islamia,36
Vidyalankar Institute of Technology,36
SVCE,36
RMK Engineering College,36
SNIST,35
Vishwakarma Institute of Technology,35
L D College Of Engineering,34
VIT Pune,34
NIT Surathkal,33
Fr. Conceicao Rodrigues College of Engineering,33
Sathyabama University,33
NIT Hamirpur,33
IIT Kanpur,33
PEC University of Technology,33
NIT Bhopal,33
University of Kerala,32
MNNIT,32
Vignan Institute of Technology and Science,31
Thadomal Shahani Engineering College,30
University Vishweriah College of Engineering,30
BVBCET,30
Sreenidhi Institute of Science & Technology,29
SIES Graduate School of Technology,29
B M S College of Engineering,28
IIT,28
IIIT Hyderabad,28
NIT Jalandhar,28
Symbiosis Institute of Technology,28
BPUT,28
MIT,27
GTU,27
VNR VJIET,27
IIT (BHU) Varanasi,26
Vasavi College of Engineering,26
BESU Shibpur,25
RGTU,25
Atharva College,25
B V Bhoomaraddi College of Engg & Tech (Affiliated to VTU),25
MVSR,25
Sinhgad College of Engineering,24
Don Bosco Institute of Technology,24
NIT Jamshedpur,24
RAIT,23
Sri Ramakrishna Engineering College,23
Datta Meghe College of Engineering,23
D j Sanghvi,23
Sree Vidyanikethan Engineering College,23
IIT Indore,23
Sardar Patel University,23
DSCE,23
Shah And anchor Kutchhi Engineering College,22
CSVTU,22
Amity School of Engineering and Technology,22
SVITS,21
Mahatma Gandhi University Kerala,21
Chitkara University,21
Jain University,21
CMRIT,21
Guru Nanak Dev University Amritsar,20
Punjab Engineering College,20
LNMIIT,20
Rajiv Gandhi Technical University,20
Panimalar Engineering College,19
Bangalore University,19
SGSITS,19
BVM Engineering College,18
M.V.S.R Engineering College,18
NIT Srinagar,18
SVNIT Surat,18
Rajiv Gandhi Prodyogiki Vishwavidyalaya,18
Bangladesh University of Engineering & Technology,18
CVRCE,18
Calicut University,17
Punjabi University,17
Nagarjuna University,17
College Of Engineering Roorkee,17
Sikkim Manipal Institute of Technology,17
Maharashtra Institute of Technology,17
GNDU,17
New Horizon College of Engineering,16
Thakur College of Engineering and Technology,16
MNM Jain Engineering College,16
MAIT GGSIPU,16
Chaitanya Bharathi Institute of Technology,16
Institute of Technical Education and Research,16
Ramrao Adik Institute of Technology,16
NIT-Trichy,16
Valliammai Engineering College,16
Banasthali University,16
Kerala University,16
St Francis Institute of Technology - Mumbai Unversity,15
Indira Gandhi Institute Of Technology,15
CUSAT,15
MIT Pune,15
Sardar Vallabhbhai National Institute of Technology,15
Charotar University of Science and Technology,15
VIIT,14
SVNIT,14
NIT Delhi,14
YCCE,14
Sri Krishna College Of Engineering And Technology,14
Shiv Nadar University,14
IET DAVV,14
Chhattisgarh Swami Vivekanand Technical Unveirsity,14
SDM,14
NIT ALLAHABAD,13
Rajiv Gandhi Institute Of Technology,13
Lakshmi Narain College of Technology,13
Mahrishi Dayanand University,13
Maharaja Sayajirao University Of Baroda,13
IIITDM Jabalpur,13
RTM Nagpur University,13
FCRIT,13
Mody Institute of Technology and Science,13
VSS Univ of Technology,13
National Institute of Engineering,13
Sapthagiri College of Engineering,13
Maharaja Surajmal Institute of Technology,13
BIT,12
IIITDM Kancheepuram,12
SRMSCET Bareilly (affiliated to Uttar Pradesh Technical University),12
DDIT,12
Assam Engineering College,12
University of Madras,12
College of Engineering and Technology,12
Nanjing University,12
The National Institute of Engineering,12
NIE,12
IIT Allahabad,12
Reva Institute of Technology,12
Yeshwantrao Chavan College of Engineering,12
BMSIT,12
IT BHU,12
IIT Ropar,12
University of Delhi,12
S.J.B. Institute of Technology,11
RVR & JC College of Engineering,11
VIT Mumbai University,11
NMAMIT Nitte,11
NMAM Institute of Technology Nitte,11
Gogte Institute of Technology,11
Motilal Nehru National Institute of Technology,11
RMD Engineering College Anna University,11
VCET,11
D Y Patil College of Engineering,11
ITM University Gurgaon,11
ITM Gurgaon,10
MNIT,10
Kathmandu University,10
IIT Mandi,10
TSEC,10
Rashtreeya Vidyalaya College of Engineering,10
Manav Rachna,10
U.P.Technical University,10
Koneru Lakshmaiah College of Engineering,10
College of Technology Pantnagar,10
GBPUAT Pantnagar,10
FRCRCE,10
NUST,10
Jalpaiguri Government Engineering College,10
NITC,10
IIT X,10
GLA Institute of Technology and Management,10
Government College of Engineering Aurangabad,10
IIT Hyderabad,10
Indraprastha University,10
IIT Bhubaneswar,10
IIITDM,10
Chhatrapati Shahuji Maharaj University Kanpur,10
NIT Paatna,9
IP University Delhi,9
IIT Delhi,9
Dr. Ambedkar Institute of technology,9
TU,9
Graphic Era University,9
FRCRCE-Mumbai University,9
Gautam Buddh Technical University,9
Nit Allahabad,9
Nitte Meenakshi Institute of Technology (Autonomous) / VTU,9
National Insititute of Technology Karnataka,9
JSSATE,9
J.N.T. University Hyderabad,9
Dr. Babasaheb Ambedkar Technological University Lonere,9
H B T I Kanpur India,9
K.I.E.T.,9
GRIET,9
Bharathiar University,9
C.S.V.T.U.,9
GKV,9
IP University MAIT,9
MNMJEC,8
R.N.S.I.T / VTU,8
University of Dhaka,8
MJCET,8
NIT Goa,8
MG University,8
Malaviya NIT Jaipur,8
Ramdeobaba Kamla Nehru Engg College,8
Bapatla Engineering College,8
Sri Bhagawan Mahaveer Jain College of Engineering,8
Ajay Kumar Garg Engineering College,8
Institue of Engineering And Management,8
Acharya Nagarjuna University,8
Siksha 'O' Anusandhan University,8
Not too well known,8
Delhi University,8
NIT Patna,8
Chattisgarh Swami Vivekanand Technical University,8
Dr Ambedkar Institute of Technology,8
IGIT,8
SRKNEC Nagpur,8
Malnad College Of Engineering,8
NIT Jaipur,8
Govt. Engineering College Thrissur Calicut University,8
Galgotias College of Engineering and Technology,8
International Institute of Information Technology Hyderabad,8
SNDT,8
GCET Sardar Patel University,8
PES,8
NIT-Durgapur,8
JBIET,8
IEM,8
S.S.N college of Engg.,8
IIT Patna,8
IPS Academy Indore [RGPV University Bhopal],8
university pf Pune,7
NIT - Surat,7
SJBIT,7
KLE College of Engineering and Technology Belgaum,7
DMCE University of Mumbai,7
B K Birla Institute of Engineering and Technology Pilani,7
Engineering,7
PTU,7
Aligarh Muslim University,7
Institute of Engineering and Technology Lucknow,7
DCE,7
Institute of Chemical Technology,7
thakur mumbai university,7
IIIT Jabalpur,7
Mody University,7
Nationl Institute of Technology Jamshedpur,7
Chandigarh Engineering College Landran,7
KU,7
VRSEC,7
Anna University / Sri Ramakrishna Engineering College,7
Institute of Engineering & Management,7
MIT College of Engineering,7
SATHAGIRI COLLEGE OF ENGINEERING VTU,7
Zhejiang University,7
MITCOE-Pune University,7
M.S.U.,7
National University of Sciences and Technology,7
RGMCET,7
Dr.Ambedkar Institute of Technology,7
SKCET (Anna University Chennai),7
Chulalongkorn,7
M.I.T Aurangabad,7
SMVDU Jammu,7
Vidyavardhini\'s College of Engg and Technology,7
NIT-WARANGAL,7
Bannari Amman Institute of Technology,7
GECA,7
SCSVMV University,7
Bhilai Institute of Technology,7
Clemson University,7
MSU,7
DTU,6
B.S.A Crescent Engineering College,6
Univ Of Pune,6
Galgotias College Of Engineering And Technology,6
Anil Neerukonda Institue of Technology and Sciences,6
Jaya Engineering College,6
Apeejay College of Engineering,6
M.D.U.,6
KLUniversity,6
Global Academy Of Technology,6
St. Peters University,6
P.U.,6
Dr. AIT VTU,6
ITM University,6
GZSCET Punjab Technical University,6
School of Engineering and Technology - Jain University Bangalore,6
U.V. Patel College of Engineering Ganpat University,6
CHARUSAT,6
ASE Blr,6
IES IPS Academy,6
JNVU/MBM Engg College Jodhpur Rajasthan,6
St.Peter's Engineering College,6
SK University,6
FCRIT Vashi,6
RTU,6
RKNEC,6
Vaish College of Engineering,6
LNCT,6
Moscow Aviation Institute(National Research University) Moscow Russia,6
CVSR/ JNTU-Hyderabad,6
Nitte institute of technology,6
Kakatiya University,6
Dr.BAMU Aurangabad/MIT Aurangabad,6
CITM Faridabad Haryana (affiliated to Maharshi Dayanand University Rohtak),6
univ of kerala,6
EEC,6
MGIT JNTU,6
NIT Alld,6
JUIT,6
NITJ,6
University of Manchester,6
MITCOE University of Pune,6
CSPIT,6
Gayatri College of Engineering,6
IIT Jodhpur,6
Dr. M.G.R. EDUCATIONAL AND RESEARCH INSTITUTE UNIVERSITY,6
BIT Durg,6
NIT- Surat,6
The Maharaja Sayajirao University,6
Sarvajanik College of Engineering & Technology,6
SIT,6
M. N. M Jain Engineering College - Affiliated to Anna University,6
National Taiwan University,6
BVCOE,5
NMU,5
KL University,5
Dr. B.R Ambedkar NIT Jalandhar,5
MRCE - affiliated to MDU,5
AISSMS College of Engineering Pune,5
Maulana Azad National Institute of Technology,5
GGITS,5
Kumaun University,5
BLDEA's CET,5
G.H.Patel college of Engg. & Tech.,5
BIT VTU,5
SRKNEC,5
University School of Technology IP Univ Delhi,5
SET JAIN UNIVERSITY,5
SRR Engineering College,5
Government Engineering College ajmer,5
Vidyavardhaka College of Engineering,5
University College of Engineering Punjabi University,5
Government Engineering College Thrissur Kerala,5
Saveetha Engineering College,5
RCOEM - NAGPUR UNIV,5
M G university Kerala,5
Uttarakhand Technical University,5
Amravati University,5
Vivekananda College of Engineering an Technology (VTU),5
ASIET,5
SSCET Bhilai,5
G. H. Patel College of Engineering and Technology,5
University of Zurich,5
AMU Aligarh,5
Keio,5
Fr. CRIT Vashi,5
Sri Sairam Institute of Technology,5
DMI College of Engineering,5
IIITD,5
Northern India Engg College (GGSIPU),5
SU,5
Rajagiri School of Engineering and Technology,5
LD College of Engineering / Gujarat University,5
mharana pratap college of technology gwalior,5
SWEC Hyd,5
SMIT,5
National Institue of Technology Karnataka,5
IIT Varanasi,5
Northeast Dianli Univ.,5
Inderprastha engineering college(Affiliated to Uttar Pradesh Technical university),5
Siliguri Institute of Technology,5
St.Francis Institute of Technology,5
TKR College of Engineering & Technology JNTU - Hyderabad,5
Ganpat University,5
Institute of Technology Nirma University,5
MGM JNEC Aurangabad,5
HNB Garhwal University/G B Pant Engineering College,5
Heritage University of Technology,5
Bannari Amman Institute Of Technology,5
D. A. V. V.,5
Heritage Institute of Technology,5
N I E Mysore,5
P.T.U.,5
Kanpur University,5
University of Rajasthan,5
DSI,5
IIPS DAVV,5
Government Engineering College Patan affilated with GTU,5
RKNEC Nagpur University,5
BBDIT Ghaziabad,5
Fr. CRIT Vashi Mumbai University,5
G.B.Pant University of Agriculture & Technology,5
PSIT UPTU,5
NIT MIZORAM,5
M S University,4
VITS,4
JUET Guna,4
mgit jntu-hyd,4
JSSATE India,4
R.D. National College,4
Velagapudi Ramakrishna Siddhartha Engineering College,4
SKNCOE,4
Birla Vishvakarma Mahavidyalaya,4
Sikkim Manipal University,4
davv,4
NIET,4
SNDT Women's University Mumbai,4
K.C. College Mumbai University,4
CET Odisha,4
Dr. Pauls Engineering College (Anna University),4
DY Patil University Navi Mumbai,4
Hautes Etudes d'Ingenieur,4
ANU,4
Fr. Rodrigues Institute of Technology,4
College Of Engg Chengannur,4
RKDF IST,4
Global Academy of Technology,4
VKIT,4
md university rohtak,4
SCOET,4
LDRP-ITR/GTU,4
NIT Arunachal Pradesh,4
JBIT (Afflliated to JNTU),4
RTU Kota / JECRC jaipur,4
SV NIT Surat,4
st.peter'e engineering college,4
S.R.M University,4
Sri Sairam Inst of Technology,4
Hi-Tech College of Engineering and Technology,4
RCON Nagpur Nagpur University,4
KMUTNB,4
K.L.C.E,4
MBSCET,4
Govt. college of Engg. Aurangabad,4
MIT Pune University,4
NIT RAIPUR,4
NMAMIT Nitte VTU Karnataka,4
National Institue of Technology Warangal,4
Sairam engg college(Anna University),4
SRMCEM Lucknow,4
